x,y,pH,temperature,moisture
1,1,6.66,20.98,W+
1,2,6.31,33.54,W
1,3,6.94,31.3,W+
1,4,6.42,30.12,W+
1,5,4.99,26.79,W
1,6,5.67,20.01,W
1,7,7.26,21.53,W+
1,8,7.09,26.55,W
1,9,5.64,34.57,W+
1,10,5.39,33.65,W
1,11,6.53,33.49,D
1,12,6.37,34.96,N
2,1,5.77,22.14,N
2,2,8.04,31.23,D
2,3,7.87,32.95,W
2,4,5.26,28.13,N
2,5,7.27,21.58,N
2,6,5.29,22.7,W
2,7,7.7,30.37,W
2,8,6.43,24.27,W+
2,9,5.45,22.22,N
2,10,7.61,25.8,W+
2,11,7.8,23.06,W
2,12,5.14,21.06,W
3,1,8.03,30.52,N
3,2,5.29,29.24,W
3,3,7.27,21.94,W+
3,4,6.2,31.4,W+
3,5,5.51,21.5,N
3,6,7.26,27.31,N
3,7,4.77,27.8,W
3,8,6.86,25.68,D
3,9,8.15,24.12,N
3,10,6.53,28.44,W+
3,11,4.78,28.36,W
3,12,5.02,33.33,N
4,1,5.48,32.87,N
4,2,8.04,29.25,W
4,3,8.24,20.33,W
4,4,5.6,24.41,W
4,5,5.22,29.48,N
4,6,6.89,24.04,W
4,7,4.77,32.77,W+
4,8,5.77,31.23,W
4,9,5.4,29.53,D
4,10,6.45,26.84,D
4,11,4.76,29.85,N
4,12,4.71,32.39,N
5,1,6.24,31.98,N
5,2,6.12,33.06,N
5,3,7.76,27.21,D
5,4,6.9,29.09,N
5,5,5.06,25.21,N
5,6,7.25,26.4,N
5,7,8.17,24.99,W
5,8,7.68,26.46,W
5,9,5.04,29.55,W+
5,10,4.91,26.31,N
5,11,6.62,27.49,N
5,12,6.97,32.38,D
6,1,4.51,21.3,W+
6,2,4.94,33.23,W
6,3,5.45,28.01,W+
6,4,7.24,33.94,W
6,5,5.65,28.38,W
6,6,4.85,31.55,N
6,7,5.36,25.9,W
6,8,6.14,29.26,W
6,9,8.47,31.56,W
6,10,6.76,27.76,D
6,11,8.4,25.68,W
6,12,7.3,30.33,N
7,1,7.49,25.09,W
7,2,7.05,29.13,N
7,3,7.31,27.59,N
7,4,5.86,34.16,W+
7,5,5.73,34.31,W+
7,6,7.16,30.2,W
7,7,8.44,21.51,W+
7,8,7.96,21.92,W
7,9,4.59,30.64,W
7,10,5.39,28.18,W
7,11,7.52,27.79,D
7,12,7.35,34.8,W
8,1,7.5,24.45,W+
8,2,4.79,33.43,N
8,3,5.54,23.4,N
8,4,7.17,25.6,D
8,5,7.61,25.44,N
8,6,5.78,24.93,N
8,7,5.45,21.42,W
8,8,7.24,34.9,D
8,9,7.51,34.41,N
8,10,4.74,21.37,N
8,11,7.97,26.88,W+
8,12,7.01,21.65,D
9,1,5.05,28.87,N
9,2,5.23,25.02,N
9,3,6.34,34.78,D
9,4,6.64,27.43,W
9,5,4.75,25.32,N
9,6,4.71,21.54,N
9,7,4.77,30.66,D
9,8,6.0,30.61,N
9,9,4.76,23.02,W+
9,10,6.68,28.98,W
9,11,4.71,21.74,N
9,12,4.91,29.28,N
10,1,6.48,24.67,W
10,2,4.7,20.62,W+
10,3,5.98,31.43,W+
10,4,5.36,21.25,W
10,5,6.57,26.09,W
10,6,4.93,28.13,D
10,7,7.22,33.49,W
10,8,5.39,27.12,W+
10,9,4.62,26.97,W
10,10,7.0,23.42,N
10,11,6.18,21.18,N
10,12,8.04,33.56,N
11,1,6.08,30.7,N
11,2,4.87,34.83,D
11,3,8.33,24.95,N
11,4,6.1,21.64,W
11,5,5.67,25.56,N
11,6,6.97,24.03,W
11,7,6.43,23.56,W+
11,8,8.4,29.71,N
11,9,5.6,27.12,W
11,10,5.55,22.32,D
11,11,6.34,26.16,W+
11,12,5.51,32.11,W+
12,1,5.55,30.08,W
12,2,7.1,31.8,N
12,3,8.03,33.9,D
12,4,5.27,29.33,W
12,5,6.66,29.95,W
12,6,5.77,26.08,D
12,7,8.48,28.2,W
12,8,4.66,30.42,N
12,9,5.93,27.74,N
12,10,5.07,33.56,D
12,11,7.26,33.37,W
12,12,5.49,20.4,N
